id,created_at,updated_at,deleted_at,name,vehicle_make_id,vehicle_type_id,code,vehicle_utility_id
391,2025-06-26 18:56:03,2025-07-03 12:28:05,,FIT ARIA,14,1,521,
394,2025-06-26 18:56:03,2025-07-03 12:28:05,,STREAM,14,6,182,
398,2025-06-26 18:56:03,2025-07-03 12:28:05,,CAPA,14,1,170,
399,2025-06-26 18:56:03,2025-07-03 12:28:05,,ACTY,14,5,169,
413,2025-06-26 18:56:03,2025-07-03 12:28:05,,COUNTY,15,7,189,
414,2025-06-26 18:56:03,2025-07-03 12:28:05,,GENESIS,15,1,193,
416,2025-06-26 18:56:03,2025-07-03 12:28:05,,SANTA FE,15,2,199,
419,2025-06-26 18:56:03,2025-07-03 12:28:05,,AZERA,15,1,188,
422,2025-06-26 18:56:03,2025-07-03 12:28:05,,H-1,15,10,195,
426,2025-06-26 18:56:03,2025-07-03 12:28:05,,VERACRUZ,15,2,206,
427,2025-06-26 18:56:03,2025-07-03 12:28:05,,TQ,15,9,203,
428,2025-06-26 18:56:03,2025-07-03 12:28:05,,TUCSON,15,2,204,
432,2025-06-26 18:56:03,2025-07-03 12:28:05,,HD50,15,9,617,
433,2025-06-26 18:56:03,2025-07-03 12:28:05,,SONATA Y20,15,1,546,
434,2025-06-26 18:56:03,2025-07-03 12:28:05,,PORTER,15,5,619,
435,2025-06-26 18:56:03,2025-07-03 12:28:05,,ELANTRA,15,1,190,
436,2025-06-26 18:56:03,2025-07-03 12:28:05,,GRANDEUR,15,1,194,
437,2025-06-26 18:56:03,2025-07-03 12:28:05,,H-100,15,5,196,
438,2025-06-26 18:56:03,2025-07-03 12:28:05,,VELOSTER,15,1,205,
440,2025-06-26 18:56:03,2025-07-03 12:28:05,,CANTUS,15,1,616,
441,2025-06-26 18:56:03,2025-07-03 12:28:05,,STAREX,15,10,201,
444,2025-06-26 18:56:03,2025-07-03 12:28:05,,ACCENT,15,1,186,
446,2025-06-26 18:56:03,2025-07-03 12:28:05,,TERRACAN,15,2,202,
447,2025-06-26 18:56:03,2025-07-03 12:28:05,,AVANTE,15,1,563,
448,2025-06-26 18:56:03,2025-07-03 12:28:05,,GRAND I 10,15,1,647,
449,2025-06-26 18:56:04,2025-07-03 12:28:05,,I 10,15,1,197,
450,2025-06-26 18:56:04,2025-07-03 12:28:05,,I30,15,1,618,
452,2025-06-26 18:56:04,2025-07-03 12:28:05,,MATRIX,15,1,198,
456,2025-06-26 18:56:04,2025-07-03 12:28:05,,ENTOURAGE,15,6,191,
457,2025-06-26 18:56:04,2025-07-03 12:28:05,,GALLOPER,15,2,192,
472,2025-06-26 18:56:04,2025-07-03 12:28:05,,FX 35,16,2,208,
473,2025-06-26 18:56:04,2025-07-03 12:28:05,,QX 56,16,2,215,
477,2025-06-26 18:56:04,2025-07-03 12:28:05,,G-37,16,1,213,
478,2025-06-26 18:56:04,2025-07-03 12:28:05,,EX-35,16,2,207,
485,2025-06-26 18:56:04,2025-07-03 12:28:05,,FX-50,16,2,210,
486,2025-06-26 18:56:04,2025-07-03 12:28:05,,G  35,16,1,211,
488,2025-06-26 18:56:04,2025-07-03 12:28:05,,FX45,16,2,209,
490,2025-06-26 18:56:04,2025-07-03 12:28:05,,G 35X,16,1,212,
493,2025-06-26 18:56:04,2025-07-03 12:28:05,,QX4,16,2,216,
497,2025-06-26 18:56:04,2025-07-03 12:28:05,,NPR,17,9,623,
499,2025-06-26 18:56:04,2025-07-03 12:28:05,,NQR,17,9,649,
500,2025-06-26 18:56:04,2025-07-03 12:28:05,,D-MAX,17,4,219,
530,2025-06-26 18:56:04,2025-07-03 12:28:05,,KB,17,4,221,
531,2025-06-26 18:56:04,2025-07-03 12:28:05,,AXIOM,17,2,217,
536,2025-06-26 18:56:04,2025-07-03 12:28:05,,RODEO,17,2,222,
541,2025-06-26 18:56:04,2025-07-03 12:28:05,,I-280,17,4,220,
549,2025-06-26 18:56:04,2025-07-03 12:28:05,,XJ8,18,1,225,
552,2025-06-26 18:56:04,2025-07-03 12:28:05,,XKR,18,1,227,
554,2025-06-26 18:56:04,2025-07-03 12:28:05,,XK8,18,1,226,
555,2025-06-26 18:56:04,2025-07-03 12:28:05,,XF,18,1,224,
557,2025-06-26 18:56:04,2025-07-03 12:28:05,,S-TYPE,18,1,223,
558,2025-06-26 18:56:04,2025-07-03 12:28:05,,X-TYPE,18,1,229,
562,2025-06-26 18:56:04,2025-07-03 12:28:05,,GRAND CHEROKEE,19,2,232,
563,2025-06-26 18:57:25,2025-07-03 12:28:05,,WRANGLER,19,2,238,
564,2025-06-26 18:57:25,2025-07-03 12:28:05,,CHEROKEE,19,2,230,
566,2025-06-26 18:57:25,2025-07-03 12:28:05,,COMPASS,19,2,231,
567,2025-06-26 18:57:25,2025-07-03 12:28:05,,LIBERTY,19,2,233,
